Provincia,Partido,Localidad,Link Indec,Otros,<= 1 Mbps,"> 1 Mbps, <= 5 Mbps","> 5 Mbps, <= 10 Mbps","> 10 Mbps, <= 15 Mbps","> 15 Mbps, <= 20 Mbps","> 20 Mbps, <= 25 Mbps","> 25 Mbps, <= 30 Mbps","> 30 Mbps, <= 50 Mbps",> 50 Mbps,Total,% <= 10Mbps,% <= 25Mbps,Poblacion,Latitud,Longitud
CHACO,Sargento Cabral,Colonias Unidas,22154030,0.0,0.0,0.0,15.0,250.0,0.0,0.0,0.0,0.0,0.0,265.0,5.660377358490567,100.0,3282.0,-26.7000971775462,-59.6277421824927
CHACO,Sargento Cabral,Las Garcitas,22154050,0.0,1.0,0.0,49.0,70.0,0.0,0.0,0.0,0.0,0.0,120.0,41.66666666666667,100.0,3711.0,-26.6193460346699,-59.8042763819042
CHACO,Tapenagá,Charadai,22161010,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.666666666666667,6.666666666666667,1519.0,-27.6553304709616,-59.8624460245382
CHACO,Tapenagá,Cote Lai,22161020,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1323.0,-27.5303116601138,-59.5765171513905
CHUBUT,Biedma,Arroyo Verde,26007010,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33.33333333333333,33.33333333333333,59.0,-42.0119886969656,-65.3064500926092
CHUBUT,Biedma,Puerto Madryn,26007020,10064.0,191.0,3702.0,7315.0,5313.0,48.0,4043.0,2488.0,5738.0,216.0,39118.0,28.65177156296334,52.691855411830865,81315.0,-42.7550996783449,-65.0422298178163
CHUBUT,Biedma,Puerto Pirámide,26007030,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,100.0,100.0,565.0,-42.5736171931039,-64.2836893467339
CHUBUT,Biedma,Quinta El Mirador,26007040,0.0,0.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,100.0,100.0,626.0,-42.811590013144,-65.051417803805
CHUBUT,Biedma,Reserva Area Protegida El Doradillo,26007050,0.0,0.0,115.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,100.0,100.0,54.0,-42.6456158957863,-65.0647229672572
CHUBUT,Cushamen,Cholila,26014020,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,1658.0,-42.5105313648355,-71.4351548288659
CHUBUT,Cushamen,El Hoyo,26014040,0.0,184.0,713.0,297.0,30.0,14.0,0.0,0.0,6.0,0.0,1244.0,95.98070739549838,99.51768488745981,1477.0,-42.0679666637038,-71.5206708370904
CHUBUT,Cushamen,El Maitén,26014050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4011.0,-42.0542854358373,-71.1673153308386
CHUBUT,Cushamen,Epuyén,26014060,0.0,0.0,0.0,1184.0,0.0,0.0,0.0,0.0,0.0,0.0,1184.0,100.0,100.0,1038.0,-42.2329247123472,-71.3695066579513
CHUBUT,Cushamen,Gualjaina,26014070,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,100.0,1183.0,-42.7267578946733,-70.5354876126711
CHUBUT,Cushamen,Lago Puelo,26014090,95.0,128.0,614.0,108.0,154.0,3.0,0.0,0.0,1.0,0.0,1103.0,77.06255666364461,91.2964641885766,3129.0,-42.0672923130861,-71.5981575625236
CHUBUT,Cushamen,Leleque,26014100,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,50.0,116.0,-42.4288626216315,-71.0683951630343
CHUBUT,Escalante,Acceso Norte,Sin Datos,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-45.782807331545,-67.5033367870766
CHUBUT,Escalante,Barrio Caleta Cordova,Sin Datos,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-45.7482508559011,-67.3786501769463
CHUBUT,Escalante,Comodoro Rivadavia,26021030,688.0,722.0,10645.0,19362.0,15147.0,73.0,930.0,2011.0,1.0,0.0,49579.0,61.9798705096916,94.55414590855,175196.0,-45.8729846778063,-67.5430559979427
CHUBUT,Escalante,Diadema Argentina,26021040,0.0,0.0,52.0,121.0,5.0,0.0,0.0,118.0,0.0,0.0,296.0,58.445945945945944,60.13513513513513,1317.0,-45.7906089158021,-67.6738925726169
CHUBUT,Escalante,Rada Tilly,26021050,1.0,34.0,282.0,1761.0,562.0,0.0,121.0,51.0,0.0,0.0,2812.0,73.86201991465148,98.15078236130867,9098.0,-45.9368019185633,-67.5653960236573
CHUBUT,Florentino Ameghino,Camarones,26028010,0.0,12.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,100.0,100.0,1296.0,-44.79829087317,-65.7105992934951
CHUBUT,Florentino Ameghino,Garayalde,26028020,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,66.66666666666666,66.66666666666666,18.0,-44.6795783728661,-66.6097364550235
